sequence,domain,n_frames,scene_tags,ODTrack_AUC,ODTrack_SR,ODTrack_FPS,SUTrack-T224_AUC,SUTrack-T224_SR,SUTrack-T224_FPS,SUTrack-B224_AUC,SUTrack-B224_SR,SUTrack-B224_FPS,UETrack_AUC,UETrack_SR,UETrack_FPS,LoRAT_AUC,LoRAT_SR,LoRAT_FPS,ODTrack-ft-v4-ep1_AUC,ODTrack-ft-v4-ep1_SR,ODTrack-ft-v4-ep1_FPS,ODTrack-ft-v4-ep4_AUC,ODTrack-ft-v4-ep4_SR,ODTrack-ft-v4-ep4_FPS,ODTrack-ft-ep6_AUC,ODTrack-ft-ep6_SR,ODTrack-ft-ep6_FPS,ODTrack-ft-ep7_AUC,ODTrack-ft-ep7_SR,ODTrack-ft-ep7_FPS,best_method,best_AUC
train_sim/seq_0054,train_sim,1264,fast;scale,0.8258,0.9749,29.6,0.7830,0.9296,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8258
train_sim/seq_0055,train_sim,1192,seam;fast,0.6109,0.9026,29.9,0.5187,0.7397,36.5,0.6222,0.9202,26.3,0.5279,0.7632,43.3,0.6171,0.9060,7.8,0.6759,0.9421,16.3,0.6751,0.9353,16.3,0.6396,0.8892,17.1,0.6739,0.9421,16.6,ft_v4_ep1,0.6759
train_sim/seq_0056,train_sim,1262,small;polar;scale,0.5374,0.7216,31.2,0.4118,0.5091,35.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.5374
train_sim/seq_0057,train_sim,1274,fast;scale,0.8362,0.9690,31.2,0.8216,0.9627,41.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8362
train_sim/seq_0058,train_sim,1352,fast;scale,0.7821,0.9068,30.7,0.7288,0.8404,41.6,0.7502,0.8538,25.2,0.8106,0.9553,37.1,0.7542,0.8799,8.9,0.8359,0.9493,22.8,0.8466,0.9650,15.4,0.8456,0.9635,17.9,-,-,-,ft_v4_ep4,0.8466
train_sim/seq_0059,train_sim,1262,polar;fast;scale;hard;drift,0.3313,0.4023,31.2,0.2006,0.2156,24.8,0.4835,0.6138,26.0,0.2206,0.2566,43.2,0.4495,0.5704,8.6,0.3264,0.3781,17.0,0.4780,0.5672,17.8,0.2056,0.2043,16.5,0.5073,0.6146,16.6,ft_ep7,0.5073
train_sim/seq_0060,train_sim,1270,small;polar;scale,0.5500,0.6934,31.3,0.0714,0.0422,21.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.5500
train_sim/seq_0061,train_sim,1246,fast;scale;absent,0.6763,0.7576,30.8,0.6303,0.7150,39.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6763
train_sim/seq_0062,train_sim,1278,scale,0.8653,0.9851,30.7,0.8498,0.9859,42.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8653
train_sim/seq_0063,train_sim,1254,fast,0.7075,0.9800,29.0,0.7206,0.9729,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7206
train_sim/seq_0064,train_sim,450,hard;drift,0.3058,0.2183,27.3,0.2755,0.1292,40.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.3058
train_sim/seq_0065,train_sim,450,seam,0.5995,0.7639,29.2,0.4811,0.6102,40.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.5995
train_sim/seq_0066,train_sim,900,hard;drift,0.1982,0.0712,22.7,0.1367,0.0345,38.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.1982
train_sim/seq_0067,train_sim,900,seam,0.5956,0.7586,30.6,0.6015,0.7820,39.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.6015
train_sim/seq_0068,train_sim,900,seam;hard;drift,0.3057,0.3660,31.3,0.5734,0.7553,35.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5734
train_sim/seq_0069,train_sim,900,,0.7659,0.9989,30.6,0.6922,0.9388,42.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7659
train_sim/seq_0070,train_sim,900,,0.7871,0.9933,30.4,0.6809,0.8065,41.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7871
